[2019-05-02 14:20:39,931: WARNING/ForkPoolWorker-2] 邮件发送中...
[2019-05-02 14:24:38,472: WARNING/ForkPoolWorker-2] 邮件发送中...
[2019-05-02 14:33:07,862: WARNING/ForkPoolWorker-2] 邮件发送中...
[2019-05-02 14:34:44,054: WARNING/ForkPoolWorker-2] 邮件发送中...
[2019-05-02 14:39:38,624: WARNING/ForkPoolWorker-2] 邮件发送中...
[2019-05-02 14:40:18,261: WARNING/ForkPoolWorker-2] 邮件发送中...
[2019-05-02 14:43:14,406: WARNING/ForkPoolWorker-2] 邮件发送中...
[2019-05-02 15:06:39,847: WARNING/ForkPoolWorker-2] 邮件发送中...
[2019-05-02 15:08:02,040: WARNING/ForkPoolWorker-2] 邮件发送中...
[2019-05-02 15:09:12,035: WARNING/ForkPoolWorker-2] 邮件发送中...
[2019-05-02 15:10:03,003: WARNING/ForkPoolWorker-2] 邮件发送中...
[2019-05-02 15:36:18,394: WARNING/ForkPoolWorker-2] 邮件发送中...
[2019-05-02 15:50:00,587: WARNING/ForkPoolWorker-2] 邮件发送中...
